date,price,link
09:10:2022,400,https://www.facebook.com/marketplace/item/496954222307564/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/496954222307564/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/496954222307564/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,450,https://www.facebook.com/marketplace/item/5525240167558755/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,450,https://www.facebook.com/marketplace/item/5525240167558755/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,450,https://www.facebook.com/marketplace/item/5525240167558755/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/1138194726806346/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/1138194726806346/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/1138194726806346/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,480,https://www.facebook.com/marketplace/item/1082958712356945/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,480,https://www.facebook.com/marketplace/item/1082958712356945/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,480,https://www.facebook.com/marketplace/item/1082958712356945/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/607796311019908/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/607796311019908/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/607796311019908/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,475,https://www.facebook.com/marketplace/item/830011721489442/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,475,https://www.facebook.com/marketplace/item/830011721489442/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,475,https://www.facebook.com/marketplace/item/830011721489442/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,420,https://www.facebook.com/marketplace/item/750518452869197/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,420,https://www.facebook.com/marketplace/item/750518452869197/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,420,https://www.facebook.com/marketplace/item/750518452869197/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,340,https://www.facebook.com/marketplace/item/805511514150636/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,340,https://www.facebook.com/marketplace/item/805511514150636/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,340,https://www.facebook.com/marketplace/item/805511514150636/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,410,https://www.facebook.com/marketplace/item/787306235797930/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,410,https://www.facebook.com/marketplace/item/787306235797930/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,410,https://www.facebook.com/marketplace/item/787306235797930/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,520,https://www.facebook.com/marketplace/item/809252010519160/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,520,https://www.facebook.com/marketplace/item/809252010519160/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,520,https://www.facebook.com/marketplace/item/809252010519160/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,350,https://www.facebook.com/marketplace/item/734648427851499/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,350,https://www.facebook.com/marketplace/item/734648427851499/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,350,https://www.facebook.com/marketplace/item/734648427851499/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/1133197190561135/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/1133197190561135/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/1133197190561135/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/391489509688794/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/391489509688794/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
09:10:2022,400,https://www.facebook.com/marketplace/item/391489509688794/?hoisted=false&ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A68c4682c-0822-499f-8e45-bce91b1d1032&__tn__=!%3AD
